hour,hour_of_day,day,outdoor_temp,outdoor_rh,solar_global,total_hvac_kwh,total_lighting_kwh,total_equipment_kwh,total_energy_kwh,grid_carbon_intensity,carbon_emissions_g,north_perimeter_temp,north_perimeter_humidity,north_perimeter_pmv,north_perimeter_ppd,north_perimeter_hvac_kwh,north_perimeter_hvac_mode,north_perimeter_occupancy,north_perimeter_heating_sp,north_perimeter_cooling_sp,north_perimeter_lighting_frac,east_perimeter_temp,east_perimeter_humidity,east_perimeter_pmv,east_perimeter_ppd,east_perimeter_hvac_kwh,east_perimeter_hvac_mode,east_perimeter_occupancy,east_perimeter_heating_sp,east_perimeter_cooling_sp,east_perimeter_lighting_frac,south_perimeter_temp,south_perimeter_humidity,south_perimeter_pmv,south_perimeter_ppd,south_perimeter_hvac_kwh,south_perimeter_hvac_mode,south_perimeter_occupancy,south_perimeter_heating_sp,south_perimeter_cooling_sp,south_perimeter_lighting_frac,west_perimeter_temp,west_perimeter_humidity,west_perimeter_pmv,west_perimeter_ppd,west_perimeter_hvac_kwh,west_perimeter_hvac_mode,west_perimeter_occupancy,west_perimeter_heating_sp,west_perimeter_cooling_sp,west_perimeter_lighting_frac,core_temp,core_humidity,core_pmv,core_ppd,core_hvac_kwh,core_hvac_mode,core_occupancy,core_heating_sp,core_cooling_sp,core_lighting_frac
20,20,1,25.2,69.1,0.0,0.0,0.06,2.16,2.22,420,932.4,25.9,63.3,0.8,18.5,0.0,free_float,0.0,18.0,28.0,0.1,25.8,65.7,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1,25.8,62.8,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1,25.6,64.7,0.7,15.3,0.0,free_float,0.0,18.0,28.0,0.1,25.9,63.5,0.8,18.5,0.0,free_float,0.0,18.0,28.0,0.1
21,21,1,22.3,62.6,0.0,0.0,0.06,2.16,2.22,380,843.6,25.9,63.3,0.82,19.2,0.0,free_float,0.0,18.0,28.0,0.1,25.8,65.1,0.79,18.2,0.0,free_float,0.0,18.0,28.0,0.1,25.8,62.5,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,25.6,63.9,0.72,15.9,0.0,free_float,0.0,18.0,28.0,0.1,25.9,63.8,0.82,19.2,0.0,free_float,0.0,18.0,28.0,0.1
22,22,1,22.8,66.7,0.0,0.0,0.06,2.16,2.22,340,754.8,25.9,63.3,0.82,19.2,0.0,free_float,0.0,18.0,28.0,0.1,25.8,64.9,0.79,18.2,0.0,free_float,0.0,18.0,28.0,0.1,25.8,62.8,0.79,18.2,0.0,free_float,0.0,18.0,28.0,0.1,25.6,63.1,0.72,15.9,0.0,free_float,0.0,18.0,28.0,0.1,25.9,66.4,0.82,19.2,0.0,free_float,0.0,18.0,28.0,0.1
23,23,1,20.2,68.3,0.0,0.0,0.06,2.16,2.22,300,666.0,25.9,65.4,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1,25.8,67.9,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,25.8,65.2,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1,25.6,64.2,0.71,15.6,0.0,free_float,0.0,18.0,28.0,0.1,25.9,67.5,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1
24,0,2,22.9,64.9,0.0,0.0,0.06,2.16,2.22,280,621.6,25.9,65.4,0.82,19.2,0.0,free_float,0.0,18.0,28.0,0.1,25.8,67.6,0.79,18.2,0.0,free_float,0.0,18.0,28.0,0.1,25.8,63.6,0.79,18.2,0.0,free_float,0.0,18.0,28.0,0.1,25.6,64.4,0.72,15.9,0.0,free_float,0.0,18.0,28.0,0.1,25.9,66.1,0.82,19.2,0.0,free_float,0.0,18.0,28.0,0.1
25,1,2,20.7,69.5,0.0,0.0,0.06,2.16,2.22,260,577.2,25.9,67.7,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1,25.8,69.0,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,25.8,65.8,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,25.6,65.9,0.71,15.6,0.0,free_float,0.0,18.0,28.0,0.1,25.9,65.5,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1
26,2,2,21.0,68.0,0.0,0.0,0.06,2.16,2.22,250,555.0,25.9,66.3,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1,25.8,69.0,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,25.8,67.3,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,25.6,66.6,0.71,15.6,0.0,free_float,0.0,18.0,28.0,0.1,25.9,67.3,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1
27,3,2,20.6,72.6,0.0,0.0,0.06,2.16,2.22,240,532.8,25.9,68.3,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1,25.8,69.6,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,25.8,68.3,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,25.6,69.0,0.72,15.9,0.0,free_float,0.0,18.0,28.0,0.1,25.9,68.3,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1
28,4,2,18.5,65.7,0.0,0.0,0.06,2.16,2.22,250,555.0,25.9,66.6,0.8,18.5,0.0,free_float,0.0,18.0,28.0,0.1,25.8,67.6,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1,25.8,67.5,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1,25.6,68.7,0.7,15.3,0.0,free_float,0.0,18.0,28.0,0.1,25.9,66.5,0.8,18.5,0.0,free_float,0.0,18.0,28.0,0.1
29,5,2,20.7,66.5,0.0,0.0,0.06,2.16,2.22,270,599.4,25.9,67.8,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1,25.8,67.5,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,25.8,67.2,0.78,17.8,0.0,free_float,0.0,18.0,28.0,0.1,25.6,66.7,0.71,15.6,0.0,free_float,0.0,18.0,28.0,0.1,25.9,67.2,0.81,18.8,0.0,free_float,0.0,18.0,28.0,0.1
30,6,2,22.5,66.0,0.0,0.0,0.06,2.16,2.22,350,777.0,25.9,66.9,0.83,19.5,0.0,free_float,0.1,18.0,23.0,0.1,25.9,65.8,0.79,18.2,0.0,free_float,0.1,18.0,23.0,0.1,25.9,66.7,0.79,18.2,0.0,free_float,0.1,18.0,23.0,0.1,25.7,67.1,0.73,16.2,0.0,free_float,0.1,18.0,23.0,0.1,25.9,67.8,0.83,19.5,0.0,free_float,0.1,18.0,23.0,0.1
31,7,2,23.4,66.9,150.3,22.159,0.3,3.24,25.699,420,10793.6,23.4,66.9,-0.03,5.0,4.453,cooling,0.5,20.0,25.5,0.8,22.7,66.3,-0.24,6.2,3.44,cooling,0.5,20.0,25.5,0.8,22.9,67.6,-0.19,5.7,4.572,cooling,0.5,20.0,25.5,0.8,22.9,66.6,-0.19,5.7,3.091,cooling,0.5,20.0,25.5,0.8,22.6,67.1,-0.27,6.5,6.603,cooling,0.5,20.0,25.5,0.9
32,8,2,24.3,63.1,260.4,0.0,4.482,5.832,10.314,480,4950.7,24.0,66.0,0.18,5.7,0.0,free_float,0.9,20.0,26.0,0.8,23.4,64.5,-0.01,5.0,0.0,free_float,0.9,20.0,26.0,0.8,23.7,68.1,0.07,5.1,0.0,free_float,0.9,20.0,26.0,0.8,23.5,65.9,0.0,5.0,0.0,free_float,0.9,20.0,26.0,0.8,23.2,66.3,-0.09,5.2,0.0,free_float,0.9,20.0,26.0,0.9
33,9,2,25.6,62.2,353.7,0.0,4.98,6.48,11.46,500,5730.0,24.7,64.6,0.41,8.5,0.0,free_float,1.0,20.0,25.5,0.8,24.1,62.1,0.21,5.9,0.0,free_float,1.0,20.0,26.0,0.8,24.6,66.7,0.38,8.0,0.0,free_float,1.0,20.0,25.5,0.8,24.1,65.4,0.22,6.0,0.0,free_float,1.0,20.0,26.0,0.8,23.9,64.6,0.13,5.4,0.0,free_float,1.0,20.0,26.0,0.9
34,10,2,26.3,65.5,505.2,0.186,4.98,6.48,11.646,490,5706.5,25.4,63.7,0.65,13.9,0.0,free_float,1.0,20.0,25.5,0.8,24.7,63.4,0.42,8.7,0.0,free_float,1.0,20.0,25.5,0.5,25.6,66.3,0.7,15.3,0.186,cooling,1.0,20.0,26.0,0.4,24.7,66.2,0.42,8.7,0.0,free_float,1.0,20.0,26.0,0.4,24.6,63.6,0.36,7.7,0.0,free_float,1.0,20.0,25.5,0.9
35,11,2,27.7,60.4,516.9,1.731,3.87,6.48,12.081,470,5678.1,25.5,63.4,0.68,14.7,0.946,cooling,1.0,20.0,25.5,0.8,25.3,62.4,0.6,12.5,0.0,free_float,1.0,20.0,25.5,0.5,26.0,62.5,0.84,19.9,0.785,cooling,1.0,20.0,26.0,0.4,25.2,65.4,0.59,12.3,0.0,free_float,1.0,20.0,26.0,0.4,25.3,63.0,0.6,12.5,0.0,free_float,1.0,20.0,25.5,0.9
36,12,2,30.4,56.5,570.9,3.666,3.096,5.184,11.946,450,5375.7,25.4,61.7,0.66,14.2,0.996,cooling,0.8,20.0,25.0,0.8,25.8,61.2,0.77,17.5,0.329,cooling,0.8,20.0,25.0,0.8,26.1,59.0,0.86,20.6,1.327,cooling,0.8,20.0,25.5,0.4,25.8,63.8,0.78,17.8,0.191,cooling,0.8,20.0,25.5,0.4,25.6,61.8,0.71,15.6,0.823,cooling,0.8,20.0,25.0,0.9
37,13,2,29.9,56.8,655.7,10.116,4.14,6.48,20.736,460,9538.6,25.2,62.7,0.58,12.0,1.757,cooling,1.0,20.0,25.5,0.8,25.3,60.4,0.6,12.5,1.573,cooling,1.0,20.0,25.5,0.8,25.6,59.2,0.71,15.6,2.409,cooling,1.0,20.0,26.0,0.4,25.7,62.0,0.72,15.9,1.602,cooling,1.0,20.0,26.0,0.4,25.0,60.2,0.51,10.4,2.775,cooling,1.0,20.0,25.5,0.9
38,14,2,30.6,58.4,768.6,3.945,4.14,6.48,14.565,480,6991.2,25.6,61.1,0.7,15.3,0.816,cooling,1.0,20.0,25.0,0.8,25.6,60.3,0.7,15.3,0.522,cooling,1.0,20.0,25.0,0.8,25.7,60.1,0.75,16.8,1.136,cooling,1.0,20.0,25.5,0.4,25.9,60.6,0.82,19.2,1.01,cooling,1.0,20.0,25.5,0.4,25.7,60.4,0.72,15.9,0.462,cooling,1.0,20.0,25.0,0.9
39,15,2,30.1,55.8,659.7,9.72,4.14,6.48,20.34,500,10170.0,25.1,61.1,0.54,11.1,2.044,cooling,1.0,20.0,25.0,0.8,24.9,58.7,0.48,9.8,1.365,cooling,1.0,20.0,25.0,0.8,25.4,57.8,0.63,13.3,1.856,cooling,1.0,20.0,25.5,0.4,25.4,57.9,0.63,13.3,1.462,cooling,1.0,20.0,25.5,0.4,25.0,58.3,0.51,10.4,2.993,cooling,1.0,20.0,25.0,0.9
40,16,2,30.5,62.1,595.8,5.115,3.726,5.832,14.673,520,7630.0,25.1,61.6,0.53,10.9,1.244,cooling,0.9,20.0,25.0,0.8,24.9,59.9,0.48,9.8,0.57,cooling,0.9,20.0,25.0,0.8,25.5,59.8,0.66,14.2,1.3,cooling,0.9,20.0,25.5,0.4,25.7,58.4,0.73,16.2,0.604,cooling,0.9,20.0,25.5,0.4,24.7,57.6,0.41,8.5,1.397,cooling,0.9,20.0,25.0,0.9
41,17,2,30.3,59.9,439.9,2.927,2.07,3.24,8.237,550,4530.4,24.9,61.6,0.46,9.4,0.846,cooling,0.5,20.0,25.0,0.8,24.5,60.0,0.34,7.4,0.312,cooling,0.5,20.0,25.0,0.8,25.4,58.8,0.64,13.6,0.974,cooling,0.5,20.0,25.5,0.8,25.6,58.9,0.7,15.3,0.568,cooling,0.5,20.0,25.5,0.8,24.6,57.6,0.38,8.0,0.227,cooling,0.5,20.0,25.0,0.9
42,18,2,29.8,55.9,297.9,1.175,0.996,2.16,4.331,530,2295.4,25.0,59.8,0.49,10.0,0.3,cooling,0.2,18.0,28.0,0.1,24.7,59.8,0.42,8.7,0.0,free_float,0.2,18.0,28.0,0.1,25.4,56.8,0.63,13.3,0.524,cooling,0.2,18.0,28.0,0.1,25.7,57.7,0.75,16.8,0.351,cooling,0.2,18.0,28.0,0.1,24.8,58.0,0.45,9.2,0.0,free_float,0.2,18.0,28.0,0.1
43,19,2,28.1,65.2,148.0,0.0,0.06,2.16,2.22,480,1065.6,25.2,62.1,0.57,11.8,0.0,free_float,0.1,18.0,28.0,0.1,24.9,60.9,0.46,9.4,0.0,free_float,0.1,18.0,28.0,0.1,25.7,61.5,0.73,16.2,0.0,free_float,0.1,18.0,28.0,0.1,25.8,59.3,0.78,17.8,0.0,free_float,0.1,18.0,28.0,0.1,25.0,60.9,0.49,10.0,0.0,free_float,0.1,18.0,28.0,0.1
44,20,2,26.2,64.0,0.0,0.0,0.06,2.16,2.22,420,932.4,25.3,63.7,0.61,12.8,0.0,free_float,0.0,18.0,28.0,0.1,25.0,61.1,0.51,10.4,0.0,free_float,0.0,18.0,28.0,0.1,25.8,60.8,0.77,17.5,0.0,free_float,0.0,18.0,28.0,0.1,25.9,62.2,0.8,18.5,0.0,free_float,0.0,18.0,28.0,0.1,25.1,61.5,0.54,11.1,0.0,free_float,0.0,18.0,28.0,0.1
45,21,2,24.3,64.1,0.0,0.0,0.06,2.16,2.22,380,843.6,25.4,64.1,0.63,13.3,0.0,free_float,0.0,18.0,28.0,0.1,25.1,62.8,0.53,10.9,0.0,free_float,0.0,18.0,28.0,0.1,25.9,62.7,0.79,18.2,0.0,free_float,0.0,18.0,28.0,0.1,26.0,62.2,0.83,19.5,0.0,free_float,0.0,18.0,28.0,0.1,25.2,62.1,0.57,11.8,0.0,free_float,0.0,18.0,28.0,0.1
46,22,2,25.8,65.2,0.0,0.0,0.06,2.16,2.22,340,754.8,25.5,65.2,0.67,14.4,0.0,free_float,0.0,18.0,28.0,0.1,25.2,63.9,0.57,11.8,0.0,free_float,0.0,18.0,28.0,0.1,26.0,64.7,0.84,19.9,0.0,free_float,0.0,18.0,28.0,0.1,26.1,63.8,0.87,21.0,0.0,free_float,0.0,18.0,28.0,0.1,25.3,62.9,0.61,12.8,0.0,free_float,0.0,18.0,28.0,0.1
47,23,2,22.1,68.7,0.0,0.0,0.06,2.16,2.22,300,666.0,25.5,68.0,0.69,15.0,0.0,free_float,0.0,18.0,28.0,0.1,25.2,64.9,0.59,12.3,0.0,free_float,0.0,18.0,28.0,0.1,26.0,66.1,0.85,20.2,0.0,free_float,0.0,18.0,28.0,0.1,26.1,66.2,0.88,21.3,0.0,free_float,0.0,18.0,28.0,0.1,25.3,63.2,0.62,13.1,0.0,free_float,0.0,18.0,28.0,0.1
48,0,3,21.2,69.3,0.0,0.0,0.06,2.16,2.22,280,621.6,25.5,68.5,0.69,15.0,0.0,free_float,0.0,18.0,28.0,0.1,25.2,67.7,0.59,12.3,0.0,free_float,0.0,18.0,28.0,0.1,26.0,65.9,0.85,20.2,0.0,free_float,0.0,18.0,28.0,0.1,26.1,66.9,0.88,21.3,0.0,free_float,0.0,18.0,28.0,0.1,25.3,64.3,0.62,13.1,0.0,free_float,0.0,18.0,28.0,0.1
49,1,3,21.3,61.5,0.0,0.0,0.06,2.16,2.22,260,577.2,25.5,67.4,0.68,14.7,0.0,free_float,0.0,18.0,28.0,0.1,25.2,65.6,0.59,12.3,0.0,free_float,0.0,18.0,28.0,0.1,26.0,64.2,0.84,19.9,0.0,free_float,0.0,18.0,28.0,0.1,26.1,65.7,0.88,21.3,0.0,free_float,0.0,18.0,28.0,0.1,25.3,63.3,0.62,13.1,0.0,free_float,0.0,18.0,28.0,0.1
50,2,3,20.0,65.7,0.0,0.0,0.06,2.16,2.22,250,555.0,25.5,66.6,0.68,14.7,0.0,free_float,0.0,18.0,28.0,0.1,25.2,67.2,0.58,12.0,0.0,free_float,0.0,18.0,28.0,0.1,26.0,64.1,0.84,19.9,0.0,free_float,0.0,18.0,28.0,0.1,26.1,65.7,0.87,21.0,0.0,free_float,0.0,18.0,28.0,0.1,25.3,64.1,0.61,12.8,0.0,free_float,0.0,18.0,28.0,0.1
51,3,3,19.3,69.4,0.0,0.0,0.06,2.16,2.22,240,532.8,25.5,66.4,0.67,14.4,0.0,free_float,0.0,18.0,28.0,0.1,25.2,67.9,0.58,12.0,0.0,free_float,0.0,18.0,28.0,0.1,26.0,66.1,0.84,19.9,0.0,free_float,0.0,18.0,28.0,0.1,26.1,67.5,0.87,21.0,0.0,free_float,0.0,18.0,28.0,0.1,25.3,65.9,0.61,12.8,0.0,free_float,0.0,18.0,28.0,0.1
