hour,hour_of_day,day,outdoor_temp,outdoor_rh,solar_global,total_hvac_kwh,total_lighting_kwh,total_equipment_kwh,total_energy_kwh,grid_carbon_intensity,carbon_emissions_g,north_perimeter_temp,north_perimeter_humidity,north_perimeter_pmv,north_perimeter_ppd,north_perimeter_hvac_kwh,north_perimeter_hvac_mode,north_perimeter_occupancy,east_perimeter_temp,east_perimeter_humidity,east_perimeter_pmv,east_perimeter_ppd,east_perimeter_hvac_kwh,east_perimeter_hvac_mode,east_perimeter_occupancy,south_perimeter_temp,south_perimeter_humidity,south_perimeter_pmv,south_perimeter_ppd,south_perimeter_hvac_kwh,south_perimeter_hvac_mode,south_perimeter_occupancy,west_perimeter_temp,west_perimeter_humidity,west_perimeter_pmv,west_perimeter_ppd,west_perimeter_hvac_kwh,west_perimeter_hvac_mode,west_perimeter_occupancy,core_temp,core_humidity,core_pmv,core_ppd,core_hvac_kwh,core_hvac_mode,core_occupancy
16,16,1,30.0,60.3,546.1,6.077,5.4,5.832,17.309,520,9000.7,23.7,62.9,0.09,5.2,1.3,cooling,0.9,23.8,63.0,0.11,5.3,1.152,cooling,0.9,24.0,59.7,0.18,5.7,1.31,cooling,0.9,24.0,62.8,0.17,5.6,0.643,cooling,0.9,23.9,61.1,0.15,5.5,1.672,cooling,0.9
17,17,1,29.6,59.5,396.6,2.726,3.0,3.24,8.966,550,4931.3,23.8,62.1,0.09,5.2,0.31,cooling,0.5,24.1,61.1,0.2,5.8,0.237,cooling,0.5,24.0,59.7,0.18,5.7,1.046,cooling,0.5,23.8,62.2,0.1,5.2,0.448,cooling,0.5,24.1,61.7,0.21,5.9,0.685,cooling,0.5
18,18,1,28.7,57.1,327.3,2.058,1.2,2.16,5.418,530,2871.5,24.1,60.9,0.2,5.8,0.18,cooling,0.2,24.0,60.8,0.18,5.7,0.368,cooling,0.2,24.3,58.9,0.27,6.5,0.721,cooling,0.2,24.3,61.7,0.26,6.4,0.052,cooling,0.2,24.0,60.5,0.19,5.7,0.737,cooling,0.2
19,19,1,25.8,59.0,129.6,2.219,0.6,2.16,4.979,480,2389.9,24.0,62.6,0.18,5.7,0.414,cooling,0.1,23.6,60.9,0.05,5.1,0.172,cooling,0.1,23.7,58.5,0.07,5.1,0.798,cooling,0.1,24.2,61.0,0.25,6.3,0.489,cooling,0.1,23.8,59.3,0.1,5.2,0.345,cooling,0.1
20,20,1,26.0,61.2,0.0,0.585,0.6,2.16,3.345,420,1404.9,24.5,64.0,0.34,7.4,0.214,cooling,0.0,23.7,62.4,0.09,5.2,0.0,free_float,0.0,23.8,60.1,0.12,5.3,0.0,free_float,0.0,24.0,61.5,0.18,5.7,0.371,cooling,0.0,23.9,60.9,0.16,5.5,0.0,free_float,0.0
21,21,1,23.5,64.1,0.0,1.003,0.6,2.16,3.763,380,1429.9,23.8,65.7,0.13,5.4,0.86,cooling,0.0,23.8,62.6,0.11,5.3,0.0,free_float,0.0,23.9,61.0,0.14,5.4,0.0,free_float,0.0,24.1,60.7,0.2,5.8,0.118,cooling,0.0,24.2,63.1,0.24,6.2,0.025,cooling,0.0
22,22,1,22.9,70.9,0.0,0.85,0.6,2.16,3.61,340,1227.4,23.9,69.1,0.15,5.5,0.0,free_float,0.0,23.9,64.4,0.15,5.5,0.0,free_float,0.0,24.0,62.7,0.18,5.7,0.0,free_float,0.0,24.0,65.6,0.16,5.5,0.213,cooling,0.0,24.0,64.5,0.18,5.7,0.637,cooling,0.0
23,23,1,20.2,67.7,0.0,0.268,0.6,2.16,3.028,300,908.4,24.0,67.4,0.17,5.6,0.0,free_float,0.0,24.0,66.9,0.17,5.6,0.0,free_float,0.0,24.3,64.1,0.27,6.5,0.082,cooling,0.0,23.9,66.3,0.15,5.5,0.062,cooling,0.0,24.5,65.9,0.34,7.4,0.123,cooling,0.0
24,0,2,22.0,66.0,0.0,2.0,0.6,2.16,4.76,280,1332.8,24.1,67.1,0.22,6.0,0.123,cooling,0.0,23.6,67.9,0.06,5.1,0.092,cooling,0.0,23.9,66.8,0.14,5.4,0.545,cooling,0.0,24.0,66.9,0.18,5.7,0.0,free_float,0.0,24.0,66.4,0.19,5.7,1.239,cooling,0.0
25,1,2,20.3,66.5,0.0,0.416,0.6,2.16,3.176,260,825.8,24.2,66.5,0.24,6.2,0.225,cooling,0.0,23.7,66.9,0.07,5.1,0.0,free_float,0.0,24.0,66.4,0.17,5.6,0.0,free_float,0.0,24.2,68.2,0.25,6.3,0.063,cooling,0.0,24.1,67.0,0.21,5.9,0.127,cooling,0.0
26,2,2,19.4,71.3,0.0,0.976,0.6,2.16,3.736,250,934.0,23.9,66.2,0.13,5.4,0.345,cooling,0.0,23.7,67.0,0.1,5.2,0.0,free_float,0.0,23.9,69.0,0.14,5.4,0.064,cooling,0.0,24.3,68.7,0.29,6.7,0.259,cooling,0.0,23.9,68.6,0.16,5.5,0.307,cooling,0.0
27,3,2,19.7,71.2,0.0,0.37,0.6,2.16,3.13,240,751.2,23.9,68.6,0.17,5.6,0.0,free_float,0.0,23.7,68.0,0.1,5.2,0.0,free_float,0.0,23.9,70.0,0.17,5.6,0.0,free_float,0.0,23.9,68.8,0.17,5.6,0.37,cooling,0.0,23.9,70.0,0.17,5.6,0.0,free_float,0.0
28,4,2,20.7,62.3,0.0,0.0,0.6,2.16,2.76,250,690.0,24.0,67.9,0.17,5.6,0.0,free_float,0.0,23.8,65.1,0.1,5.2,0.0,free_float,0.0,24.0,68.5,0.17,5.6,0.0,free_float,0.0,24.0,67.5,0.17,5.6,0.0,free_float,0.0,24.0,67.0,0.17,5.6,0.0,free_float,0.0
29,5,2,20.4,61.6,0.0,0.369,0.6,2.16,3.129,270,844.8,23.9,66.8,0.16,5.5,0.087,cooling,0.0,23.9,64.7,0.13,5.4,0.0,free_float,0.0,24.3,66.0,0.27,6.5,0.087,cooling,0.0,24.0,66.3,0.19,5.7,0.065,cooling,0.0,24.2,66.5,0.24,6.2,0.13,cooling,0.0
30,6,2,20.9,65.5,0.0,1.23,0.6,2.16,3.99,350,1396.5,24.0,66.7,0.17,5.6,0.0,free_float,0.1,24.0,66.4,0.17,5.6,0.0,free_float,0.1,24.2,65.7,0.24,6.2,0.541,cooling,0.1,24.0,65.1,0.18,5.7,0.089,cooling,0.1,24.0,65.9,0.18,5.7,0.6,cooling,0.1
31,7,2,22.7,63.6,164.5,2.878,3.0,3.24,9.118,420,3829.6,24.0,64.3,0.19,5.7,0.497,cooling,0.5,23.8,65.2,0.12,5.3,0.481,cooling,0.5,24.1,65.1,0.21,5.9,0.908,cooling,0.5,24.2,65.1,0.25,6.3,0.331,cooling,0.5,24.0,67.5,0.19,5.7,0.661,cooling,0.5
32,8,2,24.1,63.6,308.3,4.99,5.4,5.832,16.222,480,7786.6,24.2,64.3,0.24,6.2,0.945,cooling,0.9,24.4,63.9,0.32,7.1,0.615,cooling,0.9,23.8,64.1,0.12,5.3,1.33,cooling,0.9,23.6,64.1,0.04,5.0,0.841,cooling,0.9,23.8,66.5,0.13,5.4,1.26,cooling,0.9
33,9,2,25.4,69.5,395.5,5.056,6.0,6.48,17.536,500,8768.0,24.2,66.6,0.25,6.3,1.377,cooling,1.0,24.3,66.3,0.28,6.6,1.232,cooling,1.0,24.0,65.6,0.17,5.6,1.128,cooling,1.0,23.9,66.0,0.16,5.5,0.299,cooling,1.0,23.8,67.7,0.11,5.3,1.02,cooling,1.0
34,10,2,26.5,63.8,525.8,5.776,6.0,6.48,18.256,490,8945.4,23.7,65.2,0.07,5.1,1.446,cooling,1.0,24.0,65.6,0.18,5.7,1.056,cooling,1.0,23.9,65.7,0.15,5.5,1.581,cooling,1.0,23.8,65.2,0.11,5.3,0.634,cooling,1.0,24.0,67.0,0.19,5.7,1.058,cooling,1.0
35,11,2,28.5,58.0,638.2,5.324,6.0,6.48,17.804,470,8367.9,23.9,63.3,0.16,5.5,0.827,cooling,1.0,24.4,63.4,0.31,7.0,0.774,cooling,1.0,24.3,63.6,0.28,6.6,1.613,cooling,1.0,24.2,64.1,0.26,6.4,0.563,cooling,1.0,24.0,63.3,0.19,5.7,1.548,cooling,1.0
36,12,2,28.8,65.6,595.8,6.611,4.8,5.184,16.595,450,7467.7,24.2,62.2,0.25,6.3,0.916,cooling,0.8,23.8,62.0,0.1,5.2,1.063,cooling,0.8,23.9,64.9,0.16,5.5,1.951,cooling,0.8,24.3,64.6,0.28,6.6,1.399,cooling,0.8,24.3,62.6,0.29,6.7,1.282,cooling,0.8
37,13,2,28.6,61.2,670.2,7.717,6.0,6.48,20.197,460,9290.6,24.1,63.0,0.2,5.8,1.543,cooling,1.0,23.7,61.6,0.08,5.1,0.565,cooling,1.0,24.0,62.7,0.17,5.6,1.652,cooling,1.0,24.1,64.3,0.21,5.9,1.774,cooling,1.0,23.9,64.2,0.16,5.5,2.184,cooling,1.0
38,14,2,30.2,58.7,555.5,6.397,6.0,6.48,18.877,480,9061.0,23.9,60.9,0.14,5.4,1.399,cooling,1.0,24.0,59.7,0.17,5.6,0.486,cooling,1.0,23.9,60.3,0.14,5.4,1.699,cooling,1.0,24.4,62.7,0.31,7.0,1.418,cooling,1.0,23.9,62.8,0.13,5.4,1.395,cooling,1.0
39,15,2,30.6,59.1,678.9,6.756,6.0,6.48,19.236,500,9618.0,24.1,59.8,0.21,5.9,1.169,cooling,1.0,23.8,61.9,0.1,5.2,0.81,cooling,1.0,23.9,59.3,0.15,5.5,1.707,cooling,1.0,23.6,62.5,0.03,5.0,1.662,cooling,1.0,23.8,61.7,0.11,5.3,1.408,cooling,1.0
40,16,2,31.3,56.3,521.8,4.848,5.4,5.832,16.08,520,8361.6,23.7,59.0,0.07,5.1,1.321,cooling,0.9,23.8,58.8,0.12,5.3,0.542,cooling,0.9,23.9,57.3,0.13,5.4,1.453,cooling,0.9,24.3,61.5,0.29,6.7,0.449,cooling,0.9,24.0,61.6,0.18,5.7,1.083,cooling,0.9
41,17,2,30.0,57.6,437.0,3.217,3.0,3.24,9.457,550,5201.4,24.3,58.2,0.28,6.6,0.333,cooling,0.5,23.9,59.8,0.13,5.4,0.244,cooling,0.5,23.7,55.5,0.08,5.1,0.96,cooling,0.5,24.2,60.4,0.24,6.2,0.771,cooling,0.5,24.0,60.0,0.18,5.7,0.909,cooling,0.5
42,18,2,28.9,59.7,259.7,2.263,1.2,2.16,5.623,530,2980.2,23.9,57.8,0.13,5.4,0.865,cooling,0.2,24.0,58.9,0.18,5.7,0.161,cooling,0.2,24.1,56.7,0.19,5.7,0.227,cooling,0.2,24.0,59.3,0.16,5.5,0.477,cooling,0.2,23.9,60.7,0.14,5.4,0.533,cooling,0.2
43,19,2,28.3,58.6,174.2,1.478,0.6,2.16,4.238,480,2034.2,24.3,59.0,0.28,6.6,0.205,cooling,0.1,23.8,58.2,0.12,5.3,0.215,cooling,0.1,23.8,57.5,0.11,5.3,0.624,cooling,0.1,23.5,58.6,-0.01,5.0,0.215,cooling,0.1,23.9,58.5,0.15,5.5,0.219,cooling,0.1
44,20,2,27.2,59.0,0.0,0.814,0.6,2.16,3.574,420,1501.1,23.9,59.0,0.13,5.4,0.663,cooling,0.0,24.0,57.6,0.16,5.5,0.0,free_float,0.0,24.0,57.6,0.16,5.5,0.0,free_float,0.0,23.7,59.7,0.07,5.1,0.0,free_float,0.0,23.9,59.5,0.14,5.4,0.151,cooling,0.0
45,21,2,24.3,66.4,0.0,0.394,0.6,2.16,3.154,380,1198.5,23.5,60.4,0.01,5.0,0.035,cooling,0.0,24.1,60.0,0.21,5.9,0.131,cooling,0.0,24.1,59.6,0.2,5.8,0.175,cooling,0.0,23.8,61.8,0.12,5.3,0.0,free_float,0.0,24.0,62.7,0.17,5.6,0.052,cooling,0.0
46,22,2,24.0,66.1,0.0,0.794,0.6,2.16,3.554,340,1208.4,23.6,61.6,0.05,5.1,0.0,free_float,0.0,23.9,62.2,0.15,5.5,0.232,cooling,0.0,23.9,61.8,0.15,5.5,0.309,cooling,0.0,23.9,65.2,0.15,5.5,0.0,free_float,0.0,24.2,63.4,0.24,6.2,0.253,cooling,0.0
47,23,2,23.4,64.3,0.0,0.69,0.6,2.16,3.45,300,1035.0,23.7,61.4,0.08,5.1,0.0,free_float,0.0,23.6,62.5,0.05,5.1,0.011,cooling,0.0,24.0,64.2,0.18,5.7,0.014,cooling,0.0,24.1,64.7,0.2,5.8,0.011,cooling,0.0,24.2,61.5,0.23,6.1,0.654,cooling,0.0
48,0,3,21.8,69.1,0.0,0.913,0.6,2.16,3.673,280,1028.4,23.8,64.9,0.11,5.3,0.0,free_float,0.0,23.7,64.8,0.07,5.1,0.0,free_float,0.0,23.9,66.3,0.15,5.5,0.119,cooling,0.0,24.5,66.2,0.33,7.3,0.194,cooling,0.0,24.0,63.3,0.19,5.7,0.6,cooling,0.0
49,1,3,20.0,70.7,0.0,0.702,0.6,2.16,3.462,260,900.1,23.9,66.7,0.13,5.4,0.0,free_float,0.0,23.8,66.1,0.1,5.2,0.0,free_float,0.0,23.9,68.1,0.17,5.6,0.0,free_float,0.0,24.1,68.6,0.21,5.9,0.586,cooling,0.0,23.9,65.3,0.15,5.5,0.117,cooling,0.0
50,2,3,19.4,67.4,0.0,0.154,0.6,2.16,2.914,250,728.5,23.9,67.7,0.16,5.5,0.0,free_float,0.0,23.8,65.6,0.13,5.4,0.0,free_float,0.0,23.9,68.8,0.16,5.5,0.0,free_float,0.0,24.3,68.7,0.27,6.5,0.154,cooling,0.0,23.9,67.8,0.16,5.5,0.0,free_float,0.0
51,3,3,19.3,65.0,0.0,0.363,0.6,2.16,3.123,240,749.5,23.9,68.4,0.16,5.5,0.0,free_float,0.0,23.8,66.1,0.13,5.4,0.0,free_float,0.0,23.9,67.6,0.16,5.5,0.0,free_float,0.0,24.1,66.5,0.2,5.8,0.363,cooling,0.0,23.9,69.4,0.16,5.5,0.0,free_float,0.0
52,4,3,20.3,68.3,0.0,0.169,0.6,2.16,2.929,250,732.2,24.0,68.9,0.17,5.6,0.0,free_float,0.0,23.9,67.0,0.13,5.4,0.0,free_float,0.0,24.0,67.0,0.17,5.6,0.0,free_float,0.0,24.1,68.9,0.22,6.0,0.169,cooling,0.0,24.0,70.0,0.17,5.6,0.0,free_float,0.0
53,5,3,22.0,65.1,0.0,0.629,0.6,2.16,3.389,270,915.0,24.0,67.8,0.17,5.6,0.123,cooling,0.0,24.0,67.5,0.18,5.7,0.0,free_float,0.0,23.7,68.0,0.07,5.1,0.123,cooling,0.0,24.0,67.3,0.17,5.6,0.198,cooling,0.0,23.8,66.9,0.12,5.3,0.185,cooling,0.0
54,6,3,22.2,66.6,0.0,0.371,0.6,2.16,3.131,350,1095.8,23.8,65.9,0.13,5.4,0.148,cooling,0.1,23.9,66.1,0.16,5.5,0.111,cooling,0.1,23.8,67.4,0.12,5.3,0.0,free_float,0.1,24.0,65.8,0.18,5.7,0.111,cooling,0.1,23.9,67.6,0.15,5.5,0.0,free_float,0.1
55,7,3,22.6,69.4,158.4,1.692,3.0,3.24,7.932,420,3331.4,23.9,65.8,0.16,5.5,0.211,cooling,0.5,24.5,67.1,0.35,7.5,0.369,cooling,0.5,24.0,68.0,0.18,5.7,0.337,cooling,0.5,24.0,66.7,0.19,5.7,0.329,cooling,0.5,23.9,67.6,0.14,5.4,0.447,cooling,0.5
56,8,3,24.0,63.4,301.8,5.0,5.4,5.832,16.232,480,7791.4,23.5,63.0,0.0,5.0,0.8,cooling,0.9,23.8,64.8,0.1,5.2,1.347,cooling,0.9,24.0,66.9,0.2,5.8,1.179,cooling,0.9,23.9,65.6,0.16,5.5,0.628,cooling,0.9,24.1,67.2,0.22,6.0,1.046,cooling,0.9
57,9,3,24.4,63.6,372.5,4.518,6.0,6.48,16.998,500,8499.0,24.2,64.5,0.24,6.2,0.362,cooling,1.0,24.1,63.3,0.23,6.1,0.578,cooling,1.0,23.9,66.4,0.15,5.5,1.36,cooling,1.0,23.8,65.7,0.1,5.2,0.599,cooling,1.0,24.0,65.7,0.16,5.5,1.619,cooling,1.0
58,10,3,27.5,63.6,593.6,5.953,6.0,6.48,18.433,490,9032.2,23.8,63.6,0.11,5.3,1.492,cooling,1.0,23.8,61.7,0.11,5.3,0.862,cooling,1.0,24.4,64.3,0.3,6.9,1.54,cooling,1.0,23.8,66.4,0.13,5.4,0.546,cooling,1.0,23.6,65.8,0.07,5.1,1.514,cooling,1.0
59,11,3,27.1,66.3,598.8,4.896,6.0,6.48,17.376,470,8166.7,24.0,64.3,0.19,5.7,0.922,cooling,1.0,23.9,63.5,0.14,5.4,0.539,cooling,1.0,24.0,66.0,0.18,5.7,2.24,cooling,1.0,24.0,66.5,0.19,5.7,0.539,cooling,1.0,23.9,65.9,0.16,5.5,0.656,cooling,1.0
60,12,3,29.6,55.4,694.2,5.706,4.8,5.184,15.69,450,7060.5,23.9,60.3,0.15,5.5,1.108,cooling,0.8,24.0,59.4,0.18,5.7,0.549,cooling,0.8,24.1,64.8,0.22,6.0,1.658,cooling,0.8,24.1,62.7,0.23,6.1,1.292,cooling,0.8,24.1,64.4,0.21,5.9,1.098,cooling,0.8
61,13,3,31.5,56.0,779.5,7.755,6.0,6.48,20.235,460,9308.1,23.6,57.7,0.05,5.1,1.224,cooling,1.0,23.9,58.4,0.13,5.4,0.825,cooling,1.0,24.1,61.4,0.21,5.9,2.122,cooling,1.0,24.0,59.9,0.19,5.7,1.724,cooling,1.0,23.9,60.5,0.14,5.4,1.861,cooling,1.0
62,14,3,30.0,56.1,714.2,6.296,6.0,6.48,18.776,480,9012.5,23.6,59.3,0.06,5.1,0.746,cooling,1.0,23.9,57.8,0.15,5.5,0.694,cooling,1.0,24.0,60.4,0.19,5.7,2.014,cooling,1.0,23.7,58.8,0.07,5.1,1.455,cooling,1.0,23.9,57.5,0.13,5.4,1.388,cooling,1.0
63,15,3,31.8,57.7,520.8,5.434,6.0,6.48,17.914,500,8957.0,24.0,60.6,0.17,5.6,0.721,cooling,1.0,23.9,59.6,0.13,5.4,0.724,cooling,1.0,24.1,59.0,0.22,6.0,1.696,cooling,1.0,24.1,59.4,0.22,6.0,0.844,cooling,1.0,24.1,56.0,0.21,5.9,1.449,cooling,1.0
64,16,3,30.2,59.3,609.9,6.279,5.4,5.832,17.511,520,9105.7,24.0,61.3,0.16,5.5,1.185,cooling,0.9,24.0,60.3,0.18,5.7,0.628,cooling,0.9,24.1,60.4,0.22,6.0,1.809,cooling,0.9,24.2,58.9,0.24,6.2,0.977,cooling,0.9,24.1,55.5,0.21,5.9,1.678,cooling,0.9
65,17,3,30.2,62.5,354.2,4.137,3.0,3.24,10.377,550,5707.4,23.8,62.7,0.11,5.3,0.731,cooling,0.5,24.0,61.6,0.17,5.6,0.458,cooling,0.5,24.0,61.1,0.18,5.7,1.152,cooling,0.5,24.2,59.5,0.24,6.2,0.669,cooling,0.5,24.0,57.1,0.18,5.7,1.127,cooling,0.5
66,18,3,29.0,60.1,251.0,2.085,1.2,2.16,5.445,530,2885.9,24.3,61.7,0.26,6.4,0.161,cooling,0.2,24.0,61.6,0.19,5.7,0.268,cooling,0.2,23.6,60.1,0.05,5.1,0.641,cooling,0.2,24.2,60.5,0.24,6.2,0.479,cooling,0.2,24.1,56.7,0.19,5.7,0.536,cooling,0.2
67,19,3,28.7,63.4,167.3,2.083,0.6,2.16,4.843,480,2324.6,23.9,63.6,0.14,5.4,0.774,cooling,0.1,24.5,61.8,0.33,7.3,0.222,cooling,0.1,23.9,60.6,0.16,5.5,0.0,free_float,0.1,24.3,62.9,0.27,6.5,0.433,cooling,0.1,23.9,58.3,0.14,5.4,0.654,cooling,0.1
68,20,3,26.7,58.8,0.0,1.5,0.6,2.16,4.26,420,1789.2,23.6,61.0,0.05,5.1,0.089,cooling,0.0,23.8,61.6,0.11,5.3,0.7,cooling,0.0,24.0,59.2,0.16,5.5,0.089,cooling,0.0,24.5,61.0,0.33,7.3,0.489,cooling,0.0,24.2,60.1,0.25,6.3,0.134,cooling,0.0
69,21,3,24.2,65.1,0.0,1.511,0.6,2.16,4.271,380,1623.0,23.7,61.6,0.08,5.1,0.0,free_float,0.0,23.9,63.2,0.15,5.5,0.0,free_float,0.0,23.9,60.5,0.13,5.4,0.173,cooling,0.0,24.0,61.9,0.17,5.6,0.657,cooling,0.0,23.8,62.4,0.1,5.2,0.681,cooling,0.0
70,22,3,24.9,65.3,0.0,0.226,0.6,2.16,2.986,340,1015.2,23.8,62.0,0.12,5.3,0.0,free_float,0.0,23.9,66.2,0.13,5.4,0.036,cooling,0.0,24.2,61.1,0.24,6.2,0.048,cooling,0.0,24.0,62.6,0.19,5.7,0.142,cooling,0.0,23.9,63.9,0.16,5.5,0.0,free_float,0.0
